id,Leaf Blower,Leaf Destroyer,Leaf Storm-nado,Leaf A-leaf-eator,age,home
44,No,Yes,Yes,Yes,40.81871364,Rent
45,No,Yes,Yes,No,54.46449041,Rent
46,No,Yes,Yes,No,40.17188855,Own
47,No,Yes,Yes,No,48.60606765,Own
48,No,Yes,Yes,No,30.88588513,Own
49,No,Yes,No,No,45.56979533,Rent
50,No,No,Yes,No,43.86420801,Rent
51,No,Yes,No,No,40.17610738,Rent
52,No,Yes,Yes,No,56.50721487,Own
53,No,Yes,Yes,No,27.57168471,Own
54,No,Yes,Yes,No,51.04588252,Own
55,No,No,Yes,No,45.48329216,Rent
56,No,No,No,No,30.42458395,Rent
57,No,Yes,Yes,No,34.03430047,Rent
58,No,Yes,No,No,29.44129125,Own
59,No,Yes,Yes,No,66.63297042,Own
60,No,Yes,Yes,No,55.32196484,Own
61,No,Yes,Yes,No,31.15558383,Rent
62,No,Yes,Yes,No,29.78464986,Rent
63,No,Yes,No,Yes,24.75809227,Rent
64,No,Yes,No,No,25.1932474,Rent
65,No,No,No,No,28.11314642,Rent
66,No,No,Yes,No,29.51026052,Rent
67,No,Yes,No,Yes,29.46860728,Rent
68,No,No,No,No,28.42957725,Rent
69,No,Yes,Yes,No,58.91561122,Own
70,No,No,Yes,No,37.02887033,Rent
71,Yes,Yes,No,No,47.66783036,Own
72,No,No,Yes,No,36.88694606,Rent
73,No,Yes,No,No,35.63574634,Own
74,No,Yes,Yes,Yes,19.60200398,Rent
75,No,No,Yes,No,31.08000431,Rent
76,No,Yes,Yes,No,48.63786401,Rent
77,No,Yes,No,No,41.26169525,Rent
78,No,Yes,Yes,No,36.69935686,Rent
79,No,No,Yes,No,39.6481854,Rent
80,No,No,No,No,31.78361525,Rent
81,No,No,No,Yes,42.99370799,Rent
82,No,No,Yes,No,22.99825885,Rent
83,No,Yes,Yes,No,35.09536048,Rent
84,No,Yes,Yes,No,49.41729061,Rent
85,No,No,Yes,No,35.81393022,Rent
86,No,Yes,No,No,20.17658404,Rent
87,No,Yes,Yes,No,58.25166905,Own
88,No,Yes,Yes,No,62.84961789,Rent
89,No,No,No,No,24.20436844,Rent
90,No,Yes,No,No,28.0865914,Rent
91,No,Yes,Yes,No,42.946091,Rent
92,No,No,Yes,Yes,40.60449636,Rent
93,No,Yes,Yes,Yes,20.73305715,Rent
94,Yes,Yes,Yes,No,72.63888451,Own
95,No,Yes,No,No,22.41996327,Rent
96,No,Yes,Yes,No,41.29121233,Rent
97,Yes,Yes,No,Yes,22.54790498,Rent
98,No,Yes,Yes,No,38.87366379,Own
99,No,Yes,No,No,24.87440269,Rent
100,Yes,Yes,No,No,18.23789365,Rent
101,No,Yes,No,No,46.81730695,Own
102,No,No,Yes,Yes,44.76299163,Rent
103,No,Yes,No,No,38.58399861,Own
104,No,Yes,No,No,46.37270291,Rent
105,No,Yes,No,Yes,27.50329262,Rent
106,No,Yes,No,Yes,30.33985853,Rent
107,Yes,Yes,Yes,No,26.66714627,Rent
108,No,No,No,Yes,39.02971649,Rent
109,No,Yes,No,No,42.5079423,Rent
110,No,No,Yes,No,23.02948483,Rent
111,No,Yes,Yes,Yes,30.24801425,Rent
112,No,No,Yes,Yes,54.05051895,Rent
113,No,No,No,Yes,49.78624226,Rent
114,No,No,No,No,50.59980151,Rent
115,No,Yes,No,No,66.85390509,Own
116,No,Yes,No,No,29.13823375,Rent
117,No,No,No,Yes,41.39717506,Rent
118,No,No,Yes,No,39.48267726,Rent
119,Yes,No,No,Yes,39.21054858,Rent
120,No,Yes,No,No,46.70154992,Rent
121,No,Yes,No,Yes,31.65307877,Rent
122,No,No,Yes,Yes,36.30401922,Rent
123,Yes,Yes,Yes,No,50.85094056,Own
124,No,No,No,Yes,45.74799178,Rent
125,No,No,No,Yes,35.59817026,Rent
126,No,No,No,Yes,41.99285737,Rent
127,No,No,No,Yes,35.41779424,Rent
128,Yes,Yes,No,No,41.20542411,Rent
129,No,Yes,Yes,No,23.96811382,Own
130,No,Yes,No,No,58.29198296,Own
131,No,Yes,No,No,41.74642013,Own
132,No,No,Yes,No,21.92318722,Rent
133,Yes,No,No,Yes,69.49378152,Rent
134,No,No,Yes,No,32.40876311,Rent
135,No,Yes,No,Yes,21.94448653,Rent
136,No,No,No,No,37.22564928,Rent
137,Yes,Yes,Yes,No,49.66084203,Own
138,No,No,No,No,44.02111698,Rent
139,No,No,No,No,46.06657353,Rent
140,No,No,Yes,Yes,34.29630857,Rent
141,No,Yes,No,Yes,36.79278575,Rent
142,No,Yes,No,No,31.74420189,Rent
143,No,No,No,No,38.00398012,Rent
144,No,Yes,No,No,42.26486748,Own
145,No,No,Yes,Yes,43.56929605,Rent
146,No,Yes,Yes,No,51.74877152,Own
147,No,No,No,No,32.40763686,Rent
148,No,Yes,Yes,No,35.33067898,Own
149,No,Yes,No,Yes,37.8009178,Rent
150,No,Yes,Yes,No,30.33139265,Rent
151,Yes,Yes,Yes,No,39.44977138,Rent
152,No,Yes,Yes,No,37.84042739,Own
153,No,Yes,Yes,No,48.85284925,Own
154,No,Yes,Yes,Yes,21.88969882,Rent
155,No,Yes,No,No,59.817266,Own
156,No,Yes,Yes,No,51.1557366,Own
157,No,Yes,Yes,No,55.91102001,Own
158,No,Yes,Yes,No,51.95524359,Own
159,No,Yes,No,No,53.76597263,Rent
160,No,No,Yes,No,39.08003809,Rent
161,No,Yes,No,Yes,25.06209197,Rent
162,No,Yes,Yes,No,42.48752004,Own
163,No,Yes,No,Yes,53.64997343,Rent
164,No,Yes,No,No,32.31769211,Rent
165,No,Yes,Yes,No,20.0020962,Own
166,No,Yes,Yes,No,48.77961659,Rent
167,No,No,No,No,40.14723037,Rent
168,No,No,No,No,30.67075548,Rent
169,No,No,Yes,Yes,47.3955447,Rent
170,No,Yes,No,No,28.01431164,Own
171,No,Yes,No,No,33.66763327,Rent
172,No,Yes,No,No,51.10338686,Own
173,No,Yes,No,Yes,33.82824468,Own
174,No,Yes,No,No,40.28250034,Rent
175,No,Yes,Yes,No,74.55979652,Own
176,No,No,No,No,46.07332962,Rent
177,No,No,No,Yes,54.63262779,Rent
178,No,No,No,Yes,32.76067053,Rent
179,No,Yes,Yes,Yes,24.07182389,Rent
180,No,Yes,Yes,No,39.0355437,Rent
181,No,Yes,No,Yes,46.41480319,Rent
182,No,Yes,Yes,Yes,42.45203467,Rent
183,No,No,No,Yes,39.95134526,Rent
184,No,Yes,Yes,No,37.03874281,Rent
185,No,No,No,Yes,24.24805153,Rent
186,No,Yes,No,No,46.85216718,Own
187,No,Yes,No,No,38.42730603,Rent
188,No,Yes,Yes,No,64.37303149,Own
189,Yes,Yes,Yes,No,31.39365589,Own
190,No,Yes,No,No,55.87059812,Rent
191,No,No,No,No,29.03975659,Rent
192,No,No,Yes,No,43.83223094,Rent
193,No,Yes,Yes,No,38.91213613,Rent
194,Yes,Yes,Yes,No,42.07877222,Rent
195,No,No,No,Yes,41.77640676,Rent
196,No,Yes,No,No,62.97497513,Rent
197,No,Yes,No,No,26.69802125,Own
198,No,No,Yes,No,29.6838083,Rent
199,No,No,No,Yes,41.93277005,Rent
200,No,No,Yes,No,27.51380409,Rent
201,No,Yes,Yes,No,52.12187757,Own
202,No,Yes,No,Yes,38.29784941,Rent
203,No,Yes,No,No,48.69349369,Own
204,No,Yes,Yes,No,32.57976118,Rent
205,No,No,Yes,No,51.31068087,Rent
206,No,Yes,Yes,No,34.07535857,Rent
207,No,Yes,Yes,No,35.49178992,Rent
208,No,No,Yes,No,34.20011301,Rent
209,Yes,Yes,Yes,No,38.71016011,Rent
210,No,Yes,No,Yes,19.73804492,Rent
211,No,Yes,Yes,No,41.8653792,Rent
212,No,No,No,No,37.89124323,Rent
213,Yes,No,Yes,No,35.67237632,Rent
214,No,Yes,No,No,38.67927071,Rent
215,No,Yes,No,Yes,31.42286204,Rent
216,No,Yes,No,No,51.89156367,Rent
217,No,Yes,No,No,64.25826324,Own
218,Yes,Yes,No,No,32.21470424,Own
219,No,No,No,No,36.86323486,Own
220,Yes,Yes,Yes,No,52.74400193,Rent
221,Yes,Yes,No,No,20.1207819,Rent
222,No,No,No,No,43.40381105,Rent
223,No,Yes,Yes,Yes,40.41529247,Rent
224,No,Yes,No,No,38.21818058,Rent
225,No,Yes,No,No,48.39263984,Rent
226,No,Yes,Yes,No,29.24475533,Rent
227,No,Yes,No,No,36.62302397,Rent
228,No,No,No,Yes,51.46643151,Rent
229,No,No,Yes,Yes,44.54565957,Rent
230,No,No,No,No,30.86315444,Rent
231,No,Yes,No,No,43.47995759,Own
232,No,No,Yes,No,26.87879259,Rent
233,No,Yes,Yes,No,44.60501109,Rent
234,No,Yes,Yes,No,34.72594192,Rent
235,No,Yes,Yes,No,48.39006875,Own
236,No,No,Yes,Yes,49.10951285,Rent
237,No,Yes,No,No,52.50717556,Own
238,Yes,Yes,Yes,No,35.39192001,Rent
239,No,No,No,Yes,18.56327574,Rent
240,Yes,No,No,No,46.86829027,Rent
241,No,Yes,Yes,No,36.95794458,Own
242,No,Yes,Yes,No,38.33839159,Own
243,No,No,No,No,48.31613306,Rent
244,No,No,Yes,No,22.42252722,Rent
245,No,Yes,No,No,33.78448228,Own
246,No,Yes,Yes,No,45.36376824,Rent
247,No,No,No,No,28.95511137,Rent
248,No,No,No,No,23.30929627,Rent
249,No,Yes,No,No,55.85093429,Rent
250,No,No,Yes,No,37.36955749,Rent
251,No,Yes,No,No,65.30148971,Own
252,No,Yes,No,Yes,44.72208767,Rent
253,No,Yes,No,Yes,41.54751393,Rent
254,Yes,No,Yes,No,56.92745609,Rent
255,No,Yes,Yes,No,33.01944111,Rent
256,Yes,Yes,No,No,30.03120224,Rent
257,No,Yes,No,No,39.62404673,Own
258,No,Yes,No,No,23.19638171,Rent
259,No,No,Yes,No,23.29281001,Rent
260,No,Yes,Yes,No,35.7196622,Own
261,No,No,Yes,No,35.30141138,Rent
262,No,Yes,Yes,No,48.43607313,Rent
263,No,Yes,Yes,No,55.15400423,Own
264,Yes,Yes,No,No,28.94388308,Rent
265,Yes,Yes,Yes,No,36.09916739,Own
266,No,No,Yes,No,24.90963756,Rent
267,No,No,No,No,32.79960345,Rent
268,No,No,Yes,No,28.37260271,Rent
269,No,Yes,Yes,No,74.24798206,Own
270,Yes,No,No,No,28.83385559,Rent
271,No,Yes,No,Yes,19.47973909,Rent
272,No,Yes,Yes,No,61.59031105,Rent
273,No,Yes,No,No,26.86206499,Own
274,No,Yes,No,No,30.97933303,Rent
275,No,No,Yes,No,37.67529138,Rent
276,No,Yes,No,No,61.84614652,Rent
277,No,No,No,No,25.57530453,Rent
278,No,Yes,Yes,No,39.70640271,Rent
279,No,No,Yes,No,19.18280071,Rent
280,No,Yes,Yes,No,45.33990767,Rent
281,No,No,No,No,19.31637919,Rent
282,Yes,Yes,Yes,No,23.52087344,Rent
283,Yes,Yes,No,No,46.509729,Own
284,No,Yes,Yes,No,44.58703367,Rent
285,No,No,No,No,28.75709707,Rent
286,Yes,No,No,No,48.11285997,Rent
287,No,Yes,Yes,No,53.600057,Rent
288,No,Yes,No,No,28.76915519,Rent
289,No,No,No,Yes,29.02412963,Rent
290,No,No,Yes,No,29.30295451,Rent
291,No,No,No,Yes,50.51539346,Rent
292,No,Yes,No,No,49.54606176,Rent
293,No,Yes,No,Yes,35.66571198,Rent
294,No,Yes,No,Yes,36.76657592,Rent
295,No,Yes,Yes,No,59.06625069,Own
296,No,No,No,No,20.72905942,Rent
297,No,Yes,Yes,No,58.78183407,Rent
298,Yes,Yes,Yes,No,23.66119428,Rent
299,No,Yes,Yes,No,60.22031483,Own
300,No,Yes,Yes,Yes,28.35203732,Rent
301,No,Yes,No,Yes,28.83596717,Rent
302,No,Yes,No,Yes,63.4783041,Rent
303,No,Yes,Yes,Yes,47.21131302,Rent
304,No,No,Yes,No,33.88464505,Rent
305,No,Yes,No,Yes,28.36780407,Rent
306,No,No,No,No,43.42845289,Rent
307,No,No,No,No,37.33476364,Rent
308,No,Yes,No,No,33.03468904,Own
309,No,Yes,Yes,No,56.88559184,Rent
310,No,Yes,Yes,No,70.33619225,Own
311,No,No,Yes,No,47.63466593,Rent
312,Yes,No,Yes,No,39.22602191,Rent
313,No,Yes,Yes,No,27.94294378,Own
314,No,Yes,No,Yes,49.85629287,Rent
315,No,Yes,Yes,No,19.1285841,Rent
316,No,No,Yes,No,20.09781231,Rent
317,No,Yes,Yes,No,26.21515871,Rent
318,No,Yes,Yes,No,38.37537919,Rent
319,No,Yes,No,No,43.23277257,Own
320,No,Yes,Yes,No,27.31577135,Own
321,No,Yes,No,No,35.06276639,Own
322,Yes,No,Yes,No,36.72845977,Rent
323,No,Yes,No,No,30.55572461,Rent
324,No,Yes,Yes,No,52.79482783,Rent
325,No,Yes,No,No,28.24104594,Rent
326,No,No,No,Yes,31.46759527,Rent
327,No,Yes,No,No,50.50682318,Own
328,No,No,Yes,No,21.96828137,Rent
329,No,Yes,Yes,No,53.83095297,Rent
330,No,Yes,No,Yes,41.12375598,Rent
331,No,No,No,Yes,22.23908988,Rent
332,No,No,No,Yes,21.60924699,Rent
333,No,Yes,No,No,41.97899024,Rent
334,No,Yes,Yes,No,33.12211507,Own
335,No,No,No,Yes,43.87139967,Rent
336,No,Yes,No,No,58.49464615,Rent
337,No,Yes,Yes,No,46.60576435,Rent
338,No,No,No,No,35.38126207,Rent
339,No,Yes,No,No,58.42289996,Own
340,No,No,No,No,44.62289952,Rent
341,No,No,Yes,No,23.33820731,Rent
342,No,Yes,No,No,37.64661355,Rent
343,No,Yes,No,No,39.12996597,Rent
344,No,No,Yes,No,39.14601903,Rent
345,Yes,Yes,Yes,No,39.82912822,Rent
346,No,Yes,Yes,No,18.36120457,Rent
347,No,Yes,No,Yes,31.63784037,Rent
348,No,Yes,No,Yes,33.5965624,Rent
349,Yes,Yes,No,No,31.48401477,Rent
350,No,Yes,No,Yes,20.64960656,Rent
351,Yes,No,Yes,No,24.58353989,Rent
352,No,Yes,No,No,19.77913387,Rent
353,No,Yes,No,No,49.96390488,Own
354,No,Yes,No,No,53.28321193,Own
355,No,No,Yes,No,28.52454054,Rent
356,No,Yes,No,No,34.39337941,Own
357,No,Yes,Yes,Yes,29.05533361,Rent
358,No,No,No,No,28.83270503,Rent
359,No,Yes,Yes,No,33.74060537,Own
360,No,No,Yes,No,51.46406248,Rent
361,No,No,Yes,Yes,20.76901581,Rent
362,No,No,No,No,41.2341376,Rent
363,No,Yes,No,No,50.54933134,Own
364,No,Yes,No,No,42.28000502,Rent
365,No,Yes,Yes,No,23.68800653,Rent
366,No,Yes,Yes,No,46.30954763,Rent
367,Yes,Yes,Yes,No,45.7426178,Own
368,No,Yes,No,No,25.19375518,Rent
369,No,Yes,Yes,No,69.05367344,Own
370,No,Yes,No,No,81.5587533,Own
371,No,Yes,Yes,No,35.48377456,Own
372,No,Yes,No,No,43.93117383,Rent
373,No,Yes,No,No,38.0476341,Own
374,No,Yes,Yes,No,66.78292005,Own
375,No,Yes,No,No,25.05457964,Rent
376,No,Yes,Yes,Yes,50.1190748,Rent
377,No,Yes,No,No,43.27894043,Own
378,No,Yes,No,No,27.70310923,Rent
379,No,Yes,Yes,No,25.47777299,Rent
380,Yes,Yes,No,No,30.11333138,Own
381,No,Yes,No,No,47.42677431,Own
382,No,Yes,Yes,No,40.97946102,Rent
383,No,Yes,Yes,No,35.92157218,Rent
384,No,Yes,No,No,35.95609768,Rent
385,No,Yes,Yes,No,66.05819653,Own
386,No,Yes,No,Yes,22.42984434,Rent
387,No,Yes,Yes,No,35.074341,Rent
388,No,Yes,No,No,59.81915718,Rent
389,No,Yes,Yes,No,44.8291558,Own
390,No,Yes,Yes,No,24.3124731,Rent
391,No,Yes,No,No,29.46776967,Rent
392,No,Yes,Yes,No,35.04515894,Own
393,No,Yes,Yes,Yes,28.80262454,Rent
394,No,Yes,No,No,53.45004061,Rent
395,No,Yes,Yes,No,36.61425154,Own
396,No,No,Yes,No,27.93025931,Rent
397,No,No,Yes,No,27.93141557,Rent
398,No,Yes,Yes,No,56.45370537,Rent
399,No,No,No,Yes,19.59691754,Rent
400,No,Yes,Yes,No,34.20742958,Rent
401,No,Yes,No,No,47.44949283,Rent
402,No,Yes,Yes,No,37.64171459,Own
403,No,No,No,No,27.94521839,Rent
404,No,No,No,No,47.27014165,Rent
405,No,Yes,No,No,31.9552566,Rent
406,No,No,No,No,45.53004361,Rent
407,No,Yes,No,No,21.00109443,Rent
408,No,No,Yes,No,46.86200733,Rent
409,No,Yes,No,No,24.54244164,Rent
410,No,No,No,No,31.6729217,Rent
411,No,No,No,No,35.89774524,Rent
412,No,Yes,No,No,19.93208663,Rent
413,No,Yes,Yes,Yes,58.0256209,Rent
414,No,Yes,No,No,37.57716982,Own
415,No,Yes,Yes,No,26.71452623,Rent
416,No,Yes,Yes,No,46.87704897,Rent
417,No,Yes,Yes,Yes,37.28386267,Own
418,No,Yes,Yes,No,64.96948531,Rent
419,No,Yes,Yes,No,31.33775492,Rent
420,No,No,No,No,42.70139774,Rent
421,No,Yes,No,No,48.1463348,Own
422,Yes,Yes,No,No,54.59296881,Rent
423,No,No,Yes,No,40.24908637,Rent
424,Yes,Yes,Yes,No,22.88273592,Rent
425,No,Yes,No,Yes,39.22261473,Rent
426,No,Yes,No,No,38.87536783,Rent
427,No,Yes,No,No,42.44931284,Own
428,No,No,No,Yes,34.60483191,Rent
429,Yes,No,Yes,No,63.80409443,Rent
430,No,Yes,No,No,48.74167043,Rent
431,No,Yes,No,No,37.76973638,Rent
432,No,Yes,No,No,44.2459156,Rent
433,No,No,No,No,21.50746178,Rent
434,Yes,No,No,No,25.15850873,Rent
435,No,No,Yes,No,63.40162769,Rent
436,No,No,Yes,No,35.79291801,Rent
437,No,No,Yes,Yes,45.46860836,Rent
438,No,Yes,Yes,No,23.70866861,Rent
439,No,Yes,No,No,37.894341,Rent
440,Yes,Yes,No,No,27.51082784,Rent
441,No,Yes,Yes,No,38.67982686,Rent
442,Yes,No,No,No,34.00775703,Rent
443,No,No,No,No,49.87371354,Rent
444,Yes,Yes,No,No,54.78998762,Own
445,No,Yes,Yes,No,28.2044807,Rent
446,Yes,No,No,No,46.1932727,Rent
447,No,Yes,No,No,51.46746754,Own
448,No,No,Yes,No,50.91935462,Rent
449,No,No,Yes,Yes,29.28703463,Rent
450,No,Yes,Yes,No,46.12110491,Own
451,No,Yes,Yes,No,44.06986577,Own
452,No,Yes,No,No,37.38189229,Rent
453,No,Yes,Yes,No,52.48743335,Own
454,No,No,Yes,No,41.87035792,Rent
455,No,Yes,Yes,No,40.68458255,Rent
456,No,Yes,No,No,51.43907506,Rent
457,Yes,Yes,Yes,No,46.79950361,Own
458,No,Yes,No,No,51.67994347,Own
459,No,No,Yes,Yes,30.00446039,Rent
460,No,Yes,Yes,No,57.93130918,Own
461,No,No,Yes,No,29.77672488,Rent
462,No,Yes,Yes,No,34.03042173,Own
463,No,Yes,Yes,No,52.62026428,Own
464,No,Yes,Yes,No,29.57140356,Rent
465,No,Yes,No,No,34.57198115,Rent
466,No,Yes,No,No,37.83209422,Rent
467,No,No,No,Yes,21.2757789,Rent
468,No,Yes,No,No,47.86444492,Rent
469,No,Yes,Yes,No,35.28031127,Rent
470,No,Yes,Yes,No,27.0910805,Rent
471,No,Yes,Yes,No,53.32303514,Rent
472,No,No,No,No,50.13484174,Rent
473,No,No,Yes,No,63.78909905,Rent
474,No,No,No,No,32.082969,Rent
475,No,Yes,Yes,No,22.01455041,Rent
476,No,No,Yes,No,52.61103582,Rent
477,No,Yes,Yes,Yes,46.17661448,Rent
478,No,Yes,Yes,No,46.21827282,Own
479,No,Yes,Yes,No,47.47280934,Own
480,Yes,Yes,No,No,24.80843712,Rent
481,No,Yes,Yes,No,18.37008013,Rent
482,No,Yes,No,No,33.80655068,Rent
483,No,Yes,Yes,No,54.57646685,Rent
484,No,Yes,No,No,35.83675271,Own
485,Yes,Yes,No,No,42.00280066,Rent
486,No,Yes,No,No,36.12378167,Rent
487,No,Yes,Yes,No,42.90412788,Rent
488,Yes,Yes,No,No,54.70780025,Own
489,No,Yes,Yes,No,49.75016582,Own
490,No,Yes,No,No,47.87873294,Own
491,No,Yes,No,Yes,50.7833527,Rent
492,No,Yes,Yes,No,47.61784461,Rent
493,No,No,No,No,22.14213498,Rent
494,No,No,No,No,27.55800227,Rent
495,No,Yes,Yes,No,40.8705724,Own
496,Yes,Yes,No,No,35.66752163,Rent
497,No,No,No,No,25.98116695,Rent
498,Yes,No,No,Yes,21.27582649,Rent
499,Yes,Yes,No,No,33.69598604,Own
500,No,Yes,No,No,27.02880787,Rent
501,No,No,No,No,47.68945838,Rent
502,No,Yes,No,No,26.54092802,Rent
503,No,Yes,No,No,53.15572822,Own
504,No,No,No,Yes,31.87460052,Rent
505,No,No,Yes,No,22.15681687,Rent
506,No,Yes,No,No,26.63622407,Own
507,No,No,No,Yes,39.99272854,Rent
508,Yes,Yes,Yes,No,43.82011132,Own
509,No,No,No,Yes,44.24376076,Rent
510,No,No,Yes,No,58.50119438,Rent
511,No,Yes,No,No,61.39082821,Own
512,No,Yes,Yes,No,59.06452502,Own
513,No,Yes,Yes,No,38.40057614,Own
514,No,No,No,Yes,68.97311127,Rent
515,No,Yes,No,Yes,61.85584214,Rent
516,No,Yes,Yes,No,40.24562259,Own
517,No,No,No,Yes,51.0486017,Rent
518,No,Yes,Yes,No,41.84942702,Own
519,No,Yes,Yes,Yes,29.58949712,Rent
520,No,No,Yes,No,25.64682552,Rent
521,No,Yes,No,No,66.31786675,Own
522,No,Yes,Yes,No,48.01261351,Rent
523,Yes,Yes,No,Yes,32.21067857,Rent
524,No,Yes,No,No,51.2310333,Rent
525,No,Yes,No,No,43.95328857,Rent
526,No,Yes,No,Yes,44.89923979,Rent
527,No,No,No,No,24.63540946,Rent
528,No,Yes,Yes,No,30.57982117,Own
529,No,No,Yes,No,36.81671113,Rent
530,No,Yes,No,No,29.90962211,Rent
531,No,Yes,No,No,28.33690392,Rent
532,No,Yes,No,Yes,38.57913582,Rent
533,No,No,No,No,68.91157044,Rent
534,No,Yes,Yes,No,18.7086993,Rent
535,No,No,Yes,Yes,43.98989283,Rent
536,No,No,Yes,Yes,23.71792419,Rent
537,No,Yes,No,No,58.24698831,Own
538,No,Yes,No,No,38.40749742,Rent
539,No,Yes,Yes,No,49.93212986,Rent
540,No,Yes,No,No,23.4046282,Own
541,No,Yes,Yes,No,49.19527524,Rent
542,No,Yes,No,No,39.09676171,Rent
543,No,Yes,No,No,32.60889559,Rent
544,Yes,No,No,Yes,44.211511,Rent
545,No,No,Yes,No,29.04262344,Rent
546,No,Yes,Yes,No,61.72435268,Own
547,No,Yes,Yes,No,39.45519709,Own
548,No,Yes,Yes,No,34.6776632,Rent
549,No,Yes,Yes,No,49.56192604,Rent
550,No,Yes,Yes,Yes,24.93889822,Rent
551,No,Yes,No,No,42.12780839,Rent
552,No,Yes,Yes,No,48.57492486,Own
553,Yes,No,Yes,No,28.26443577,Rent
554,No,No,No,No,39.62712875,Rent
555,No,Yes,No,No,19.95269766,Rent
556,No,Yes,No,No,40.98726893,Own
557,No,No,No,No,21.87007757,Rent
558,No,No,Yes,No,29.27724709,Rent
559,No,No,No,No,55.86848738,Rent
560,No,No,Yes,No,43.21559012,Rent
561,No,Yes,No,No,26.75156548,Rent
562,No,Yes,No,No,37.83278923,Own
563,No,No,Yes,No,49.26536534,Rent
564,No,Yes,Yes,No,59.39349379,Own
565,No,No,Yes,No,56.68895628,Rent
566,No,Yes,Yes,No,51.10283037,Own
567,No,No,No,No,57.84161478,Rent
568,No,No,No,No,34.25554701,Rent
569,No,No,Yes,No,25.33660894,Rent
570,No,Yes,No,Yes,45.02649017,Rent
571,No,Yes,No,Yes,28.93654641,Rent
572,No,Yes,Yes,No,37.71326317,Own
573,No,Yes,Yes,No,41.96178966,Rent
574,No,Yes,Yes,No,43.79530503,Own
575,No,Yes,Yes,Yes,25.01553121,Rent
576,Yes,Yes,No,No,39.52509064,Own
577,No,No,No,Yes,31.49613212,Rent
578,No,Yes,Yes,No,41.53653733,Rent
579,No,No,No,No,55.06291549,Rent
580,No,No,Yes,No,30.76649174,Rent
581,Yes,Yes,No,Yes,26.43014687,Rent
582,No,Yes,Yes,No,35.28311619,Own
583,No,Yes,Yes,No,56.62938155,Own
584,No,Yes,Yes,No,38.89260989,Rent
585,No,Yes,Yes,No,20.6895834,Rent
586,No,Yes,Yes,No,30.40953262,Rent
587,No,Yes,Yes,No,34.58902415,Own
588,No,No,No,No,52.30014268,Rent
589,Yes,No,No,No,74.00659047,Rent
590,No,Yes,No,No,22.44793939,Rent
591,No,Yes,Yes,No,45.51877505,Rent
592,No,No,No,No,34.31211048,Rent
593,No,Yes,Yes,No,33.51324247,Rent
594,No,Yes,No,No,27.87326017,Rent
595,No,No,No,No,38.75226929,Rent
596,No,No,No,No,45.14685033,Rent
597,Yes,No,Yes,No,27.19964864,Rent
598,No,Yes,No,No,45.59347622,Rent
599,No,No,Yes,No,43.37188975,Rent
600,Yes,Yes,Yes,No,25.91724377,Rent
601,No,Yes,Yes,No,26.45229606,Rent
602,No,Yes,Yes,No,25.94997249,Rent
603,No,Yes,No,Yes,23.68122513,Rent
604,Yes,Yes,No,No,19.59739873,Rent
605,No,Yes,Yes,No,46.59508404,Rent
606,Yes,Yes,Yes,No,36.60136819,Own
607,No,Yes,No,Yes,34.60132071,Rent
608,No,Yes,Yes,No,47.36834965,Own
609,Yes,Yes,No,No,20.34594354,Rent
610,No,No,No,No,32.43220554,Rent
611,No,No,No,No,28.71311148,Rent
612,No,Yes,Yes,Yes,35.2772209,Rent
613,Yes,Yes,No,No,20.94772956,Rent
