id,age,receive.offer,repeat.customer,prod
244,20,No,No,Yard Smasher
245,35,No,No,Yard Smasher
246,27,No,No,Yard Smasher
247,47,No,No,Yard Smasher
248,33,No,No,Yard Smasher
249,30,No,No,Yard Smasher
250,34,No,No,Yard Smasher
251,38,No,Yes,Yard Smasher
252,30,No,No,Yard Smasher
253,29,No,No,Yard Smasher
254,29,No,No,Yard Smasher
255,40,No,No,Yard Smasher
256,45,No,Yes,Yard Smasher
257,30,No,No,Yard Smasher
258,32,No,No,Yard Smasher
259,33,Yes,Yes,Yard Smasher
260,26,No,No,Yard Smasher
261,38,No,No,Yard Smasher
262,28,No,No,Yard Smasher
263,27,No,No,Yard Smasher
264,29,No,No,Yard Smasher
265,32,No,No,Yard Smasher
266,44,No,No,Yard Smasher
267,32,No,No,Yard Smasher
268,35,No,No,Yard Smasher
269,34,No,Yes,Yard Smasher
270,52,No,No,Yard Smasher
271,34,No,No,Yard Smasher
272,26,No,No,Yard Smasher
273,23,No,No,Yard Smasher
274,23,No,No,Yard Smasher
275,22,No,No,Yard Smasher
276,39,No,No,Yard Smasher
277,26,No,No,Yard Smasher
278,26,No,No,Yard Smasher
279,25,No,No,Yard Smasher
280,23,No,No,Yard Smasher
281,23,No,No,Yard Smasher
282,28,No,No,Yard Smasher
283,43,No,No,Yard Smasher
284,24,No,No,Yard Smasher
285,31,No,No,Yard Smasher
286,38,Yes,No,Yard Smasher
287,29,No,Yes,Yard Smasher
288,51,No,No,Yard Smasher
289,34,No,No,Yard Smasher
290,38,No,No,Yard Smasher
291,38,No,Yes,Yard Smasher
292,24,No,No,Yard Smasher
293,58,No,No,Yard Smasher
294,26,No,No,Yard Smasher
295,53,No,Yes,Yard Smasher
296,28,No,No,Yard Smasher
297,34,No,Yes,Yard Smasher
298,28,No,No,Yard Smasher
299,30,No,No,Yard Smasher
300,37,No,No,Yard Smasher
301,30,No,No,Yard Smasher
302,39,No,No,Yard Smasher
303,34,No,No,Yard Smasher
304,48,No,Yes,Yard Smasher
305,52,No,No,Yard Smasher
306,33,No,No,Yard Smasher
307,22,No,No,Yard Smasher
308,36,No,No,Yard Smasher
309,41,No,No,Yard Smasher
310,33,No,No,Yard Smasher
311,30,No,No,Yard Smasher
312,41,No,No,Yard Smasher
313,39,No,No,Yard Smasher
314,28,No,Yes,Yard Smasher
315,32,No,No,Yard Smasher
316,23,No,No,Yard Smasher
317,35,No,No,Yard Smasher
318,34,No,No,Yard Smasher
319,29,No,Yes,Yard Smasher
320,22,No,Yes,Yard Smasher
321,27,No,No,Yard Smasher
322,33,No,Yes,Yard Smasher
323,41,No,No,Yard Smasher
324,19,No,Yes,Yard Smasher
325,24,No,No,Yard Smasher
326,39,No,No,Yard Smasher
327,22,No,No,Yard Smasher
328,43,No,No,Yard Smasher
329,32,No,Yes,Yard Smasher
330,33,No,No,Yard Smasher
331,47,No,Yes,Yard Smasher
332,29,No,No,Yard Smasher
333,41,No,No,Yard Smasher
334,32,Yes,Yes,Yard Smasher
335,38,No,Yes,Yard Smasher
336,25,No,Yes,Yard Smasher
337,23,No,No,Yard Smasher
338,23,No,No,Yard Smasher
339,22,No,No,Yard Smasher
340,41,No,No,Yard Smasher
341,35,No,Yes,Yard Smasher
342,29,No,Yes,Yard Smasher
343,22,No,No,Yard Smasher
344,42,No,No,Yard Smasher
345,24,No,No,Yard Smasher
346,29,No,Yes,Yard Smasher
347,18,No,No,Yard Smasher
348,22,No,Yes,Yard Smasher
349,21,No,Yes,Yard Smasher
350,28,No,Yes,Yard Smasher
351,34,No,No,Yard Smasher
352,28,No,Yes,Yard Smasher
353,33,No,No,Yard Smasher
354,20,No,Yes,Yard Smasher
355,35,No,No,Yard Smasher
356,36,No,No,Yard Smasher
357,22,No,No,Yard Smasher
358,25,No,No,Yard Smasher
359,25,No,No,Yard Smasher
360,47,No,Yes,Yard Smasher
361,25,No,Yes,Yard Smasher
362,43,No,No,Yard Smasher
363,19,No,Yes,Yard Smasher
364,32,No,No,Yard Smasher
365,34,Yes,No,Yard Smasher
366,20,No,No,Yard Smasher
367,44,No,No,Yard Smasher
368,41,No,No,Yard Smasher
369,30,No,No,Yard Smasher
370,27,No,No,Yard Smasher
371,18,No,No,Yard Smasher
372,29,No,Yes,Yard Smasher
373,31,No,No,Yard Smasher
374,27,No,No,Yard Smasher
375,37,No,No,Yard Smasher
376,38,No,Yes,Yard Smasher
377,32,Yes,No,Yard Smasher
378,30,No,No,Yard Smasher
379,29,No,No,Yard Smasher
380,32,No,No,Yard Smasher
381,33,No,Yes,Yard Smasher
382,29,No,No,Yard Smasher
383,32,No,No,Yard Smasher
384,43,No,No,Yard Smasher
385,30,No,Yes,Yard Smasher
386,34,No,No,Yard Smasher
387,35,No,Yes,Yard Smasher
388,31,No,No,Yard Smasher
389,29,No,No,Yard Smasher
390,27,No,No,Yard Smasher
391,28,No,No,Yard Smasher
392,30,No,Yes,Yard Smasher
393,29,No,Yes,Yard Smasher
394,19,No,No,Yard Smasher
395,38,No,Yes,Yard Smasher
396,46,No,No,Yard Smasher
397,26,No,Yes,Yard Smasher
398,30,No,No,Yard Smasher
399,35,No,No,Yard Smasher
400,39,No,No,Yard Smasher
401,28,No,No,Yard Smasher
402,22,No,No,Yard Smasher
403,28,No,No,Yard Smasher
404,35,No,No,Yard Smasher
405,23,No,Yes,Yard Smasher
406,23,No,No,Yard Smasher
407,19,No,No,Yard Smasher
408,44,No,No,Yard Smasher
409,32,No,Yes,Yard Smasher
410,33,No,No,Yard Smasher
411,37,No,No,Yard Smasher
412,49,No,No,Yard Smasher
413,43,No,No,Yard Smasher
414,49,No,No,Yard Smasher
415,18,No,Yes,Yard Smasher
416,40,No,No,Yard Smasher
417,33,No,Yes,Yard Smasher
418,27,No,Yes,Yard Smasher
419,41,No,No,Yard Smasher
420,20,No,No,Yard Smasher
421,33,No,No,Yard Smasher
422,42,No,No,Yard Smasher
423,40,No,Yes,Yard Smasher
424,32,No,No,Yard Smasher
425,32,No,Yes,Yard Smasher
426,36,No,Yes,Yard Smasher
427,22,No,No,Yard Smasher
428,36,No,No,Yard Smasher
429,18,No,No,Yard Smasher
430,29,No,No,Yard Smasher
431,24,No,Yes,Yard Smasher
432,36,No,No,Yard Smasher
433,29,No,No,Yard Smasher
434,19,No,Yes,Yard Smasher
435,25,No,No,Yard Smasher
436,33,No,No,Yard Smasher
437,39,No,No,Yard Smasher
438,51,No,Yes,Yard Smasher
439,36,No,No,Yard Smasher
440,25,No,No,Yard Smasher
441,40,No,Yes,Yard Smasher
442,39,No,No,Yard Smasher
443,34,No,Yes,Yard Smasher
444,25,No,No,Yard Smasher
445,36,No,No,Yard Smasher
446,23,No,Yes,Yard Smasher
447,38,No,Yes,Yard Smasher
448,19,No,Yes,Yard Smasher
449,23,No,No,Yard Smasher
450,38,No,No,Yard Smasher
451,24,No,No,Yard Smasher
452,39,No,Yes,Yard Smasher
453,40,No,Yes,Yard Smasher
454,32,No,No,Yard Smasher
455,21,No,No,Yard Smasher
456,19,No,No,Yard Smasher
457,25,No,Yes,Yard Smasher
458,24,No,No,Yard Smasher
459,18,No,No,Yard Smasher
460,38,No,No,Yard Smasher
461,46,No,No,Yard Smasher
462,28,No,No,Yard Smasher
463,36,No,No,Yard Smasher
464,38,No,No,Yard Smasher
465,26,No,No,Yard Smasher
466,32,No,No,Yard Smasher
467,19,No,Yes,Yard Smasher
468,32,No,Yes,Yard Smasher
469,29,No,Yes,Yard Smasher
470,28,No,No,Yard Smasher
471,39,No,Yes,Yard Smasher
472,35,No,Yes,Yard Smasher
473,20,No,No,Yard Smasher
474,40,No,Yes,Yard Smasher
475,34,No,No,Yard Smasher
476,34,No,No,Yard Smasher
477,49,No,Yes,Yard Smasher
478,32,No,No,Yard Smasher
479,43,No,Yes,Yard Smasher
480,24,No,No,Yard Smasher
481,44,No,Yes,Yard Smasher
482,19,No,Yes,Yard Smasher
483,30,No,Yes,Yard Smasher
484,40,No,No,Yard Smasher
485,26,No,No,Yard Smasher
486,44,No,No,Yard Smasher
487,24,No,No,Yard Smasher
488,47,No,Yes,Yard Smasher
489,33,No,No,Yard Smasher
490,37,No,No,Yard Smasher
491,23,No,Yes,Yard Smasher
492,41,No,No,Yard Smasher
493,34,No,No,Yard Smasher
494,43,No,No,Yard Smasher
495,33,No,No,Yard Smasher
496,23,No,Yes,Yard Smasher
497,24,No,No,Yard Smasher
498,31,No,No,Yard Smasher
499,31,No,Yes,Yard Smasher
500,33,No,No,Yard Smasher
501,36,No,No,Yard Smasher
502,30,No,No,Yard Smasher
503,43,No,No,Yard Smasher
504,22,No,No,Yard Smasher
505,24,No,No,Yard Smasher
506,29,No,No,Yard Smasher
507,23,No,No,Yard Smasher
508,33,No,No,Yard Smasher
509,27,No,No,Yard Smasher
510,40,No,No,Yard Smasher
511,37,No,Yes,Yard Smasher
512,35,No,No,Yard Smasher
513,24,No,No,Yard Smasher
514,35,No,No,Yard Smasher
515,27,No,No,Yard Smasher
516,29,No,No,Yard Smasher
517,22,No,No,Yard Smasher
518,42,No,No,Yard Smasher
519,32,No,No,Yard Smasher
520,19,No,No,Yard Smasher
521,32,No,Yes,Yard Smasher
522,36,No,No,Yard Smasher
523,27,No,No,Yard Smasher
524,43,No,Yes,Yard Smasher
525,33,No,No,Yard Smasher
526,28,No,Yes,Yard Smasher
527,23,No,Yes,Yard Smasher
528,40,No,No,Yard Smasher
529,27,No,Yes,Yard Smasher
530,32,No,No,Yard Smasher
531,29,Yes,Yes,Yard Smasher
532,44,No,Yes,Yard Smasher
533,25,No,No,Yard Smasher
534,23,No,No,Yard Smasher
535,30,No,No,Yard Smasher
536,32,No,Yes,Yard Smasher
537,32,No,No,Yard Smasher
538,35,No,No,Yard Smasher
539,38,No,No,Yard Smasher
540,20,No,Yes,Yard Smasher
541,27,No,No,Yard Smasher
542,34,No,Yes,Yard Smasher
543,38,No,No,Yard Smasher
544,32,No,No,Yard Smasher
545,27,No,No,Yard Smasher
546,31,No,No,Yard Smasher
547,43,No,No,Yard Smasher
548,40,No,No,Yard Smasher
549,22,No,Yes,Yard Smasher
550,27,No,No,Yard Smasher
551,29,No,No,Yard Smasher
552,26,No,No,Yard Smasher
553,41,No,No,Yard Smasher
554,32,No,Yes,Yard Smasher
555,31,No,No,Yard Smasher
556,19,No,No,Yard Smasher
557,51,No,No,Yard Smasher
558,31,No,Yes,Yard Smasher
559,27,No,Yes,Yard Smasher
560,30,No,No,Yard Smasher
561,23,No,No,Yard Smasher
562,30,No,No,Yard Smasher
563,32,No,No,Yard Smasher
564,20,No,No,Yard Smasher
565,41,No,No,Yard Smasher
566,23,No,No,Yard Smasher
567,27,No,No,Yard Smasher
568,32,No,No,Yard Smasher
569,36,No,Yes,Yard Smasher
570,24,No,Yes,Yard Smasher
571,34,No,No,Yard Smasher
572,22,No,No,Yard Smasher
573,29,No,Yes,Yard Smasher
574,24,No,No,Yard Smasher
575,28,No,No,Yard Smasher
576,31,No,Yes,Yard Smasher
577,35,No,No,Yard Smasher
578,28,No,Yes,Yard Smasher
579,25,No,No,Yard Smasher
580,29,No,No,Yard Smasher
581,33,No,No,Yard Smasher
582,23,No,No,Yard Smasher
583,31,No,No,Yard Smasher
584,35,No,No,Yard Smasher
585,36,No,Yes,Yard Smasher
586,30,No,No,Yard Smasher
587,49,Yes,No,Yard Smasher
588,31,No,No,Yard Smasher
589,49,No,Yes,Yard Smasher
590,26,No,No,Yard Smasher
591,52,No,Yes,Yard Smasher
592,41,No,No,Yard Smasher
593,25,No,No,Yard Smasher
594,34,No,No,Yard Smasher
595,25,No,No,Yard Smasher
596,25,No,No,Yard Smasher
597,18,No,No,Yard Smasher
598,37,No,Yes,Yard Smasher
599,25,No,No,Yard Smasher
600,27,No,No,Yard Smasher
601,23,No,Yes,Yard Smasher
602,36,No,Yes,Yard Smasher
603,23,No,No,Yard Smasher
604,36,No,No,Yard Smasher
605,26,No,Yes,Yard Smasher
606,19,No,No,Yard Smasher
607,34,No,No,Yard Smasher
608,38,No,Yes,Yard Smasher
609,39,No,No,Yard Smasher
610,35,No,No,Yard Smasher
611,33,No,No,Yard Smasher
612,26,No,No,Yard Smasher
613,24,No,Yes,Yard Smasher
614,18,No,No,Yard Smasher
615,40,No,No,Yard Smasher
616,31,No,No,Yard Smasher
617,31,No,No,Yard Smasher
618,30,No,No,Yard Smasher
619,26,No,Yes,Yard Smasher
620,31,No,No,Yard Smasher
621,25,No,Yes,Yard Smasher
622,23,No,Yes,Yard Smasher
623,28,No,No,Yard Smasher
624,20,No,No,Yard Smasher
625,29,No,No,Yard Smasher
626,27,No,No,Yard Smasher
627,43,No,No,Yard Smasher
628,36,No,No,Yard Smasher
629,39,No,No,Yard Smasher
630,20,No,No,Yard Smasher
631,19,Yes,No,Yard Smasher
632,40,No,No,Yard Smasher
633,18,No,No,Yard Smasher
634,43,No,No,Yard Smasher
635,34,No,No,Yard Smasher
636,47,No,No,Yard Smasher
637,41,No,No,Yard Smasher
638,19,No,No,Yard Smasher
639,25,No,No,Yard Smasher
640,34,No,No,Yard Smasher
641,36,No,No,Yard Smasher
642,33,No,No,Yard Smasher
643,36,No,No,Yard Smasher
644,35,No,Yes,Yard Smasher
645,55,No,No,Yard Smasher
646,39,No,No,Yard Smasher
647,26,No,No,Yard Smasher
648,33,No,No,Yard Smasher
649,33,No,Yes,Yard Smasher
650,43,No,No,Yard Smasher
651,24,No,No,Yard Smasher
652,24,No,Yes,Yard Smasher
653,40,No,Yes,Yard Smasher
654,25,No,No,Yard Smasher
655,19,No,No,Yard Smasher
656,26,No,No,Yard Smasher
657,27,No,No,Yard Smasher
658,54,No,No,Yard Smasher
659,26,No,No,Yard Smasher
660,32,No,No,Yard Smasher
661,21,No,No,Yard Smasher
662,32,No,No,Yard Smasher
663,20,No,No,Yard Smasher
664,37,No,No,Yard Smasher
665,24,No,No,Yard Smasher
666,31,No,Yes,Yard Smasher
667,22,No,Yes,Yard Smasher
668,42,No,No,Yard Smasher
669,25,No,No,Yard Smasher
670,54,No,Yes,Yard Smasher
671,28,No,Yes,Yard Smasher
672,27,No,Yes,Yard Smasher
673,19,No,No,Yard Smasher
674,30,No,No,Yard Smasher
675,32,No,Yes,Yard Smasher
676,41,No,No,Yard Smasher
677,36,No,No,Yard Smasher
678,39,No,No,Yard Smasher
679,36,No,No,Yard Smasher
680,43,No,No,Yard Smasher
681,23,No,No,Yard Smasher
682,45,No,Yes,Yard Smasher
683,33,No,Yes,Yard Smasher
684,30,No,Yes,Yard Smasher
685,39,No,No,Yard Smasher
686,30,No,No,Yard Smasher
687,33,No,No,Yard Smasher
688,35,No,No,Yard Smasher
689,34,No,No,Yard Smasher
690,20,No,No,Yard Smasher
691,28,No,No,Yard Smasher
692,25,No,No,Yard Smasher
693,20,No,No,Yard Smasher
694,31,No,No,Yard Smasher
695,28,No,No,Yard Smasher
696,28,No,No,Yard Smasher
697,41,No,Yes,Yard Smasher
698,29,No,No,Yard Smasher
699,39,No,No,Yard Smasher
700,34,No,No,Yard Smasher
701,35,No,No,Yard Smasher
702,23,No,No,Yard Smasher
703,35,No,No,Yard Smasher
704,38,No,No,Yard Smasher
705,18,No,Yes,Yard Smasher
706,26,No,Yes,Yard Smasher
707,27,No,Yes,Yard Smasher
708,29,No,No,Yard Smasher
709,22,No,Yes,Yard Smasher
710,43,No,No,Yard Smasher
711,38,No,No,Yard Smasher
712,35,No,No,Yard Smasher
713,35,No,No,Yard Smasher
714,27,No,No,Yard Smasher
715,40,No,No,Yard Smasher
716,37,No,No,Yard Smasher
717,33,No,Yes,Yard Smasher
718,26,No,No,Yard Smasher
719,43,No,No,Yard Smasher
720,35,No,Yes,Yard Smasher
721,29,No,No,Yard Smasher
722,30,No,No,Yard Smasher
723,27,No,No,Yard Smasher
724,36,No,No,Yard Smasher
725,38,No,No,Yard Smasher
726,43,No,No,Yard Smasher
727,28,No,No,Yard Smasher
728,28,No,No,Yard Smasher
729,26,No,No,Yard Smasher
730,44,No,No,Yard Smasher
731,40,No,Yes,Yard Smasher
732,26,No,No,Yard Smasher
733,40,No,Yes,Yard Smasher
734,18,No,No,Yard Smasher
735,39,No,No,Yard Smasher
736,26,No,Yes,Yard Smasher
737,27,No,No,Yard Smasher
738,21,No,No,Yard Smasher
739,41,No,No,Yard Smasher
740,32,No,No,Yard Smasher
741,23,No,Yes,Yard Smasher
742,35,No,No,Yard Smasher
743,33,No,No,Yard Smasher
744,25,No,Yes,Yard Smasher
745,29,No,Yes,Yard Smasher
746,37,No,Yes,Yard Smasher
747,19,No,No,Yard Smasher
748,32,No,No,Yard Smasher
749,39,No,No,Yard Smasher
750,33,No,No,Yard Smasher
751,36,No,No,Yard Smasher
752,32,No,Yes,Yard Smasher
753,43,No,No,Yard Smasher
754,32,No,Yes,Yard Smasher
755,21,No,No,Yard Smasher
756,21,No,Yes,Yard Smasher
757,31,No,No,Yard Smasher
758,39,No,No,Yard Smasher
759,34,No,No,Yard Smasher
760,30,No,No,Yard Smasher
761,28,No,No,Yard Smasher
762,27,No,Yes,Yard Smasher
763,35,No,No,Yard Smasher
764,34,No,Yes,Yard Smasher
765,29,No,No,Yard Smasher
766,36,No,No,Yard Smasher
767,28,No,No,Yard Smasher
768,32,No,No,Yard Smasher
769,52,No,No,Yard Smasher
770,35,No,No,Yard Smasher
771,60,No,No,Yard Smasher
772,28,No,No,Yard Smasher
773,39,No,No,Yard Smasher
774,42,No,Yes,Yard Smasher
775,31,No,No,Yard Smasher
776,38,No,Yes,Yard Smasher
777,27,No,No,Yard Smasher
778,36,No,No,Yard Smasher
779,35,No,Yes,Yard Smasher
780,37,No,No,Yard Smasher
781,38,No,Yes,Yard Smasher
782,49,No,No,Yard Smasher
783,21,No,No,Yard Smasher
784,37,No,No,Yard Smasher
785,38,No,Yes,Yard Smasher
786,25,No,No,Yard Smasher
787,29,No,Yes,Yard Smasher
788,57,No,No,Yard Smasher
789,27,No,No,Yard Smasher
790,29,No,Yes,Yard Smasher
791,35,No,No,Yard Smasher
792,23,No,No,Yard Smasher
793,32,No,No,Yard Smasher
794,29,No,Yes,Yard Smasher
795,50,No,No,Yard Smasher
796,19,No,No,Yard Smasher
797,41,No,Yes,Yard Smasher
798,40,No,Yes,Yard Smasher
799,37,No,No,Yard Smasher
800,34,No,Yes,Yard Smasher
801,44,No,Yes,Yard Smasher
802,28,No,Yes,Yard Smasher
803,39,No,No,Yard Smasher
804,47,No,No,Yard Smasher
805,30,No,Yes,Yard Smasher
806,39,No,No,Yard Smasher
807,44,No,No,Yard Smasher
808,35,No,Yes,Yard Smasher
809,25,No,No,Yard Smasher
810,36,No,No,Yard Smasher
811,26,No,Yes,Yard Smasher
812,45,No,Yes,Yard Smasher
813,44,No,No,Yard Smasher
814,32,No,Yes,Yard Smasher
815,31,No,No,Yard Smasher
816,36,No,No,Yard Smasher
817,25,No,No,Yard Smasher
818,33,No,No,Yard Smasher
819,41,No,No,Yard Smasher
820,32,No,No,Yard Smasher
821,24,No,No,Yard Smasher
822,31,No,No,Yard Smasher
823,43,No,No,Yard Smasher
824,25,No,No,Yard Smasher
825,34,No,No,Yard Smasher
826,36,No,Yes,Yard Smasher
827,26,No,No,Yard Smasher
828,21,No,No,Yard Smasher
829,38,No,No,Yard Smasher
830,24,No,No,Yard Smasher
831,33,No,No,Yard Smasher
832,32,No,No,Yard Smasher
833,24,No,Yes,Yard Smasher
834,36,No,No,Yard Smasher
835,28,No,No,Yard Smasher
836,35,No,No,Yard Smasher
837,39,No,No,Yard Smasher
838,27,No,Yes,Yard Smasher
839,28,No,No,Yard Smasher
840,47,No,Yes,Yard Smasher
841,33,No,No,Yard Smasher
842,23,No,Yes,Yard Smasher
